frame_number	 sync_in1	 sync_in2	 time_stamp
1	 1	 1	 0.0494711399078
2	 1	 1	 0.0994009971619
3	 1	 1	 0.149376153946
4	 1	 1	 0.199447154999
5	 1	 1	 0.24943113327
6	 1	 1	 0.299426078796
7	 0	 1	 0.349420070648
8	 1	 1	 0.399434089661
9	 1	 1	 0.449440002441
10	 1	 1	 0.499443054199
11	 1	 1	 0.549440145493
12	 1	 1	 0.599452972412
13	 1	 1	 0.649456977844
14	 1	 1	 0.699463129044
15	 1	 1	 0.749461174011
16	 1	 1	 0.799472093582
17	 1	 1	 0.849477052689
18	 1	 1	 0.899482965469
19	 1	 1	 0.949486017227
20	 0	 1	 0.999489068985
21	 1	 1	 1.04949402809
22	 1	 1	 1.09953212738
23	 1	 1	 1.14951395988
24	 1	 1	 1.19951415062
25	 1	 1	 1.24951410294
26	 1	 1	 1.29950809479
27	 1	 1	 1.34952306747
28	 1	 1	 1.39952802658
29	 1	 1	 1.44953799248
30	 1	 1	 1.4995341301
31	 1	 1	 1.54954099655
32	 1	 1	 1.59954404831
33	 0	 1	 1.64955115318
34	 1	 1	 1.69954299927
35	 1	 1	 1.74956202507
36	 1	 1	 1.79956197739
37	 1	 1	 1.84957313538
38	 1	 1	 1.89957714081
39	 1	 1	 1.94958114624
40	 1	 1	 1.99957704544
41	 1	 1	 2.0495929718
42	 1	 1	 2.09959411621
43	 1	 1	 2.14959812164
44	 1	 1	 2.1996011734
45	 1	 1	 2.24960398674
46	 0	 1	 2.29961013794
47	 1	 1	 2.34961509705
48	 1	 1	 2.39962911606
49	 1	 1	 2.44963312149
50	 1	 1	 2.49962115288
51	 1	 1	 2.5496301651
52	 1	 1	 2.59964513779
53	 1	 1	 2.64964604378
54	 1	 1	 2.69964003563
55	 1	 1	 2.74966001511
56	 1	 1	 2.79965901375
57	 1	 1	 2.84966611862
58	 1	 1	 2.89967012405
59	 1	 1	 2.94967317581
60	 1	 1	 2.99967813492
61	 1	 1	 3.0496711731
62	 1	 1	 3.09968304634
63	 1	 1	 3.14968895912
64	 1	 1	 3.19969916344
65	 1	 1	 3.24969100952
66	 1	 1	 3.29970312119
67	 1	 1	 3.34970808029
68	 1	 1	 3.39971208572
69	 1	 1	 3.44970798492
70	 1	 1	 3.49972200394
71	 1	 1	 3.54972195625
72	 1	 1	 3.59972500801
73	 1	 1	 3.64973497391
74	 1	 1	 3.69973707199
75	 1	 1	 3.74974703789
76	 1	 1	 3.7997481823
77	 1	 1	 3.84975099564
78	 1	 1	 3.89975905418
79	 1	 1	 3.94975614548
80	 1	 1	 3.99977517128
81	 1	 1	 4.04977416992
82	 1	 1	 4.09977602959
83	 1	 1	 4.14977312088
84	 1	 1	 4.19978404045
85	 1	 1	 4.24979019165
86	 1	 1	 4.29979705811
87	 1	 1	 4.34979915619
88	 1	 1	 4.39980316162
89	 0	 1	 4.44981718063
90	 1	 1	 4.49981498718
91	 1	 1	 4.5498111248
92	 1	 1	 4.59982895851
93	 1	 1	 4.6498260498
94	 1	 1	 4.69983100891
95	 1	 1	 4.74983596802
96	 1	 1	 4.79984116554
97	 1	 1	 4.849848032
98	 1	 1	 4.89985799789
99	 1	 1	 4.949862957
100	 1	 1	 4.99986004829
101	 1	 1	 5.04986906052
102	 0	 1	 5.09986114502
103	 1	 1	 5.14987397194
104	 1	 1	 5.19987511635
105	 1	 1	 5.24988412857
106	 1	 1	 5.29988598824
107	 1	 1	 5.34988498688
108	 1	 1	 5.39989805222
109	 1	 1	 5.44990301132
110	 1	 1	 5.49991512299
111	 1	 1	 5.54990315437
112	 1	 1	 5.59991502762
113	 1	 1	 5.64991307259
114	 1	 1	 5.69992208481
115	 0	 1	 5.74992609024
116	 1	 1	 5.79993510246
117	 1	 1	 5.84994006157
118	 1	 1	 5.899944067
119	 1	 1	 5.94995498657
120	 1	 1	 5.99995303154
121	 1	 1	 6.04997515678
122	 1	 1	 6.09997797012
123	 1	 1	 6.14997601509
124	 1	 1	 6.1999771595
125	 1	 1	 6.24996900558
126	 1	 1	 6.2999830246
127	 1	 1	 6.34998512268
128	 0	 1	 6.39999008179
129	 1	 1	 6.44999313354
130	 1	 1	 6.49999904633
131	 1	 1	 6.5500061512
132	 1	 1	 6.60000801086
133	 1	 1	 6.65000915527
134	 1	 1	 6.70002508163
135	 1	 1	 6.75002408028
136	 1	 1	 6.80002808571
137	 1	 1	 6.85002303123
138	 1	 1	 6.90003800392
139	 1	 1	 6.95005011559
140	 1	 1	 7.00004506111
141	 0	 1	 7.05005216599
142	 1	 1	 7.10005712509
143	 1	 1	 7.15006017685
144	 1	 1	 7.20005106926
145	 1	 1	 7.25007104874
146	 1	 1	 7.30007505417
147	 1	 1	 7.35008001328
148	 1	 1	 7.40008306503
149	 1	 1	 7.45009613037
150	 1	 1	 7.50009608269
151	 1	 1	 7.55009913445
152	 1	 1	 7.60009217262
153	 1	 1	 7.65011000633
154	 1	 1	 7.70010519028
155	 1	 1	 7.7501180172
156	 1	 1	 7.80011200905
157	 1	 1	 7.85012412071
158	 1	 1	 7.90013313293
159	 1	 1	 7.95013999939
160	 1	 1	 8.00013899803
161	 1	 1	 8.05014514923
162	 1	 1	 8.10013914108
163	 1	 1	 8.15015816689
164	 1	 1	 8.20015501976
165	 1	 1	 8.25016117096
166	 1	 1	 8.30015802383
167	 1	 1	 8.35016107559
168	 1	 1	 8.40017414093
169	 1	 1	 8.4501850605
170	 1	 1	 8.50018596649
171	 1	 1	 8.55018401146
172	 1	 1	 8.60020208359
173	 1	 1	 8.65019798279
174	 1	 1	 8.70020198822
175	 1	 1	 8.75019907951
176	 1	 1	 8.80021214485
177	 1	 1	 8.85021209717
178	 1	 1	 8.90022397041
179	 1	 1	 8.9502351284
180	 1	 1	 9.00023198128
181	 1	 1	 9.05024814606
182	 1	 1	 9.10023903847
183	 1	 1	 9.15025305748
184	 0	 1	 9.20024895668
185	 1	 1	 9.25025701523
186	 1	 1	 9.30024909973
187	 1	 1	 9.35026717186
188	 1	 1	 9.40027618408
189	 1	 1	 9.45027804375
190	 1	 1	 9.50027012825
191	 1	 1	 9.55028414726
192	 1	 1	 9.6002869606
193	 1	 1	 9.65029501915
194	 1	 1	 9.70028495789
195	 1	 1	 9.75030303001
196	 1	 1	 9.80030703545
197	 0	 1	 9.85031819344
198	 1	 1	 9.90031313896
199	 1	 1	 9.95032596588
200	 1	 1	 10.0003230572
201	 1	 1	 10.0503311157
202	 1	 1	 10.1003410816
203	 1	 1	 10.1503481865
204	 1	 1	 10.2003390789
205	 1	 1	 10.2503559589
206	 1	 1	 10.3003590107
207	 1	 1	 10.350356102
208	 1	 1	 10.4003510475
209	 1	 1	 10.4503719807
210	 0	 1	 10.500369072
211	 1	 1	 10.5503840446
212	 1	 1	 10.6003711224
213	 1	 1	 10.6503829956
214	 1	 1	 10.7003860474
215	 1	 1	 10.7503931522
216	 1	 1	 10.8003880978
217	 1	 1	 10.8504011631
218	 1	 1	 10.9004001617
219	 1	 1	 10.9504110813
220	 1	 1	 11.0004150867
221	 1	 1	 11.0504250526
222	 1	 1	 11.1004300117
223	 0	 1	 11.1504220963
224	 1	 1	 11.2004351616
225	 1	 1	 11.2504441738
226	 1	 1	 11.3004419804
227	 1	 1	 11.3504459858
228	 1	 1	 11.4004530907
229	 1	 1	 11.4504640102
230	 1	 1	 11.5004639626
231	 1	 1	 11.5504701138
232	 1	 1	 11.6004600525
233	 1	 1	 11.6504759789
234	 1	 1	 11.7004811764
235	 1	 1	 11.7504930496
236	 0	 1	 11.8004829884
237	 1	 1	 11.8504951
238	 1	 1	 11.9004991055
239	 1	 1	 11.950507164
240	 1	 1	 12.0005130768
241	 1	 1	 12.0527031422
242	 1	 1	 12.1005170345
243	 1	 1	 12.1505250931
244	 1	 1	 12.2005281448
245	 1	 1	 12.2505331039
246	 1	 1	 12.3005290031
247	 1	 1	 12.3505411148
248	 1	 1	 12.4005510807
249	 1	 1	 12.4505500793
250	 1	 1	 12.5005471706
251	 1	 1	 12.5505611897
252	 1	 1	 12.6005699635
253	 1	 1	 12.6505689621
254	 1	 1	 12.7005670071
255	 1	 1	 12.7505869865
256	 1	 1	 12.8005871773
257	 1	 1	 12.8505961895
258	 1	 1	 12.9005951881
259	 1	 1	 12.9506039619
260	 1	 1	 13.0006070137
261	 1	 1	 13.0506010056
262	 1	 1	 13.1006140709
263	 1	 1	 13.150616169
264	 1	 1	 13.2006211281
265	 1	 1	 13.2506160736
266	 1	 1	 13.3006350994
267	 1	 1	 13.3506410122
268	 1	 1	 13.4006421566
269	 1	 1	 13.4506390095
270	 1	 1	 13.5006511211
271	 1	 1	 13.5506520271
272	 1	 1	 13.6006581783
273	 1	 1	 13.6506540775
274	 1	 1	 13.7006640434
275	 1	 1	 13.7506790161
276	 1	 1	 13.8006770611
277	 1	 1	 13.8506691456
278	 1	 1	 13.9006750584
279	 1	 1	 13.9506859779
280	 1	 1	 14.0006930828
281	 1	 1	 14.0507011414
282	 1	 1	 14.1007051468
283	 1	 1	 14.1507000923
284	 1	 1	 14.2007110119
285	 1	 1	 14.2507200241
286	 1	 1	 14.3007230759
287	 1	 1	 14.3507201672
288	 1	 1	 14.4007380009
289	 1	 1	 14.4507350922
290	 1	 1	 14.5007410049
291	 1	 1	 14.5507459641
292	 0	 1	 14.6007430553
293	 1	 1	 14.6507530212
294	 1	 1	 14.7007591724
295	 1	 1	 14.7507650852
296	 1	 1	 14.8007590771
297	 1	 1	 14.8507800102
298	 1	 1	 14.9007680416
299	 1	 1	 14.9507820606
300	 1	 1	 15.0007879734
301	 1	 1	 15.0508160591
302	 1	 1	 15.1008040905
303	 1	 1	 15.1507911682
304	 1	 1	 15.2008020878
305	 0	 1	 15.2508111
306	 1	 1	 15.3008110523
307	 1	 1	 15.350810051
308	 1	 1	 15.4008321762
309	 1	 1	 15.4508290291
310	 1	 1	 15.5008411407
311	 1	 1	 15.5508370399
312	 1	 1	 15.6008400917
313	 1	 1	 15.6508491039
314	 1	 1	 15.7008509636
315	 1	 1	 15.7508499622
316	 1	 1	 15.800866127
317	 1	 1	 15.8508660793
318	 0	 1	 15.9008719921
319	 1	 1	 15.9508810043
320	 1	 1	 16.0008809566
321	 1	 1	 16.0508770943
322	 1	 1	 16.1008889675
323	 1	 1	 16.1508960724
324	 1	 1	 16.2008981705
325	 1	 1	 16.2509031296
326	 1	 1	 16.3009080887
327	 1	 1	 16.3509101868
328	 1	 1	 16.4009130001
329	 1	 1	 16.4509179592
330	 1	 1	 16.5009241104
331	 0	 1	 16.5509340763
332	 1	 1	 16.6009371281
333	 1	 1	 16.6509380341
334	 1	 1	 16.7009501457
335	 1	 1	 16.7509481907
336	 1	 1	 16.800951004
337	 1	 1	 16.8509480953
338	 1	 1	 16.9009621143
339	 1	 1	 16.9509689808
340	 1	 1	 17.0009641647
341	 1	 1	 17.0509769917
342	 1	 1	 17.1009831429
343	 1	 1	 17.1509931087
344	 0	 1	 17.2009780407
345	 1	 1	 17.2509970665
346	 1	 1	 17.3010001183
347	 1	 1	 17.3510069847
348	 1	 1	 17.4010021687
349	 1	 1	 17.4510111809
350	 1	 1	 17.501019001
351	 1	 1	 17.5510230064
352	 1	 1	 17.6010229588
353	 1	 1	 17.6510300636
354	 1	 1	 17.7010350227
355	 1	 1	 17.7510430813
356	 1	 1	 17.8010480404
357	 0	 1	 17.8510410786
358	 1	 1	 17.9010550976
359	 1	 1	 17.9510569572
360	 1	 1	 18.0010640621
361	 1	 1	 18.0520830154
362	 1	 1	 18.1010830402
363	 1	 1	 18.1510791779
364	 1	 1	 18.2010810375
365	 1	 1	 18.2510871887
366	 1	 1	 18.3010931015
367	 1	 1	 18.3510870934
368	 1	 1	 18.4010989666
369	 1	 1	 18.4511129856
370	 1	 1	 18.501116991
371	 1	 1	 18.551112175
372	 1	 1	 18.6011221409
373	 1	 1	 18.6511230469
374	 1	 1	 18.7011311054
375	 1	 1	 18.7511270046
376	 1	 1	 18.8011391163
377	 1	 1	 18.8511431217
378	 1	 1	 18.9011561871
379	 1	 1	 18.9511551857
380	 1	 1	 19.0011661053
381	 1	 1	 19.051169157
382	 1	 1	 19.1011660099
383	 1	 1	 19.1511790752
384	 1	 1	 19.2011749744
385	 1	 1	 19.2511820793
386	 1	 1	 19.3011760712
387	 1	 1	 19.3511931896
388	 1	 1	 19.4011940956
389	 1	 1	 19.4512071609
390	 1	 1	 19.5011951923
391	 1	 1	 19.5512070656
392	 1	 1	 19.601211071
393	 1	 1	 19.6512191296
394	 1	 1	 19.7012081146
395	 1	 1	 19.7512359619
396	 1	 1	 19.8012349606
397	 1	 1	 19.8512320518
398	 1	 1	 19.9012379646
399	 1	 1	 19.9512519836
400	 1	 1	 20.0012409687
401	 1	 1	 20.0512549877
402	 1	 1	 20.1012580395
403	 1	 1	 20.1512641907
404	 1	 1	 20.2012560368
405	 1	 1	 20.2512800694
406	 1	 1	 20.3012781143
407	 1	 1	 20.3512821198
408	 1	 1	 20.4012739658
409	 1	 1	 20.4512979984
410	 1	 1	 20.5012950897
411	 1	 1	 20.5513050556
412	 1	 1	 20.6012980938
413	 1	 1	 20.651309967
414	 1	 1	 20.7013130188
415	 1	 1	 20.7513201237
416	 1	 1	 20.8013231754
417	 1	 1	 20.8513221741
418	 1	 1	 20.9013371468
419	 1	 1	 20.9513430595
420	 1	 1	 21.0013370514
421	 1	 1	 21.0540041924
422	 1	 1	 21.1013600826
423	 1	 1	 21.1513571739
424	 1	 1	 21.2013571262
425	 1	 1	 21.2513740063
426	 0	 1	 21.3013710976
427	 1	 1	 21.3513829708
428	 1	 1	 21.4013690948
429	 1	 1	 21.4513890743
430	 1	 1	 21.5013890266
431	 1	 1	 21.551388979
432	 1	 1	 21.6013841629
433	 1	 1	 21.6514101028
434	 1	 1	 21.7013990879
435	 1	 1	 21.7514109612
436	 1	 1	 21.8014149666
437	 1	 1	 21.8514130116
438	 1	 1	 21.9014251232
439	 0	 1	 21.9514291286
440	 1	 1	 22.0014331341
441	 1	 1	 22.0514411926
442	 1	 1	 22.1014361382
443	 1	 1	 22.1514480114
444	 1	 1	 22.2014501095
445	 1	 1	 22.2514610291
446	 1	 1	 22.3014571667
447	 1	 1	 22.3514611721
448	 1	 1	 22.4014701843
449	 1	 1	 22.4514839649
450	 1	 1	 22.5014710426
451	 1	 1	 22.5514881611
452	 0	 1	 22.6014909744
453	 1	 1	 22.6514980793
454	 1	 1	 22.701488018
455	 1	 1	 22.7515041828
456	 1	 1	 22.8015031815
457	 1	 1	 22.851514101
458	 1	 1	 22.9015209675
459	 1	 1	 22.9515321255
460	 1	 1	 23.001527071
461	 1	 1	 23.0515220165
462	 1	 1	 23.1015360355
463	 1	 1	 23.1515409946
464	 1	 1	 23.2015421391
465	 0	 1	 23.251543045
466	 1	 1	 23.3015539646
467	 1	 1	 23.3515601158
468	 1	 1	 23.4015669823
469	 1	 1	 23.4515659809
470	 1	 1	 23.501568079
471	 1	 1	 23.5515789986
472	 1	 1	 23.6015791893
473	 1	 1	 23.6515870094
474	 1	 1	 23.7015931606
475	 1	 1	 23.7516009808
476	 1	 1	 23.8016011715
477	 1	 1	 23.8516051769
478	 0	 1	 23.9016120434
479	 1	 1	 23.9516179562
480	 1	 1	 24.0016140938
481	 1	 1	 24.0526881218
482	 1	 1	 24.101637125
483	 1	 1	 24.1516370773
484	 1	 1	 24.2016291618
485	 1	 1	 24.2516431808
486	 1	 1	 24.30164814
487	 1	 1	 24.3516540527
488	 1	 1	 24.4016461372
489	 1	 1	 24.4516601562
490	 1	 1	 24.5016651154
491	 0	 1	 24.5516700745
492	 1	 1	 24.60166502
493	 1	 1	 24.651679039
494	 1	 1	 24.7016839981
495	 1	 1	 24.7516880035
496	 1	 1	 24.8016841412
497	 1	 1	 24.8517000675
498	 1	 1	 24.9016959667
499	 1	 1	 24.951706171
500	 1	 1	 25.0017139912
501	 1	 1	 25.0517179966
502	 1	 1	 25.1017270088
503	 1	 1	 25.1517210007
504	 0	 1	 25.2017300129
505	 1	 1	 25.2517390251
506	 1	 1	 25.3017480373
507	 1	 1	 25.3517360687
508	 1	 1	 25.4017481804
509	 1	 1	 25.4517509937
510	 1	 1	 25.501760006
511	 1	 1	 25.5517539978
512	 1	 1	 25.6017720699
513	 1	 1	 25.651777029
514	 1	 1	 25.7017769814
515	 1	 1	 25.751773119
516	 1	 1	 25.8017849922
517	 1	 1	 25.8517930508
518	 1	 1	 25.9017961025
519	 1	 1	 25.9517991543
520	 1	 1	 26.0018031597
521	 1	 1	 26.0518071651
522	 1	 1	 26.1018149853
523	 1	 1	 26.1518270969
524	 1	 1	 26.2018241882
525	 1	 1	 26.2518260479
526	 1	 1	 26.3018369675
527	 1	 1	 26.3518400192
528	 1	 1	 26.4018411636
529	 1	 1	 26.4518451691
530	 1	 1	 26.5018501282
531	 1	 1	 26.5518569946
532	 1	 1	 26.6018590927
533	 1	 1	 26.6518511772
534	 1	 1	 26.7018630505
535	 1	 1	 26.7518839836
536	 1	 1	 26.8018779755
537	 1	 1	 26.8518750668
538	 1	 1	 26.9018950462
539	 1	 1	 26.9518971443
540	 1	 1	 27.0019011497
541	 1	 1	 27.051910162
542	 1	 1	 27.1019020081
543	 1	 1	 27.1519081593
544	 1	 1	 27.2019209862
545	 1	 1	 27.2519130707
546	 1	 1	 27.301926136
547	 1	 1	 27.3519380093
548	 1	 1	 27.401941061
549	 1	 1	 27.4519300461
550	 1	 1	 27.5019431114
551	 1	 1	 27.5519499779
552	 1	 1	 27.6019601822
553	 1	 1	 27.6519479752
554	 1	 1	 27.7019591331
555	 1	 1	 27.7519681454
556	 1	 1	 27.8019709587
557	 1	 1	 27.8519670963
558	 1	 1	 27.9019739628
559	 1	 1	 27.9519779682
560	 1	 1	 28.0019881725
561	 1	 1	 28.0519971848
562	 1	 1	 28.1019980907
563	 1	 1	 28.1519970894
564	 1	 1	 28.2020130157
565	 1	 1	 28.252022028
566	 1	 1	 28.3020260334
567	 1	 1	 28.3520131111
568	 1	 1	 28.4020261765
569	 1	 1	 28.4520301819
570	 1	 1	 28.502038002
571	 1	 1	 28.552036047
572	 1	 1	 28.6020481586
573	 1	 1	 28.6520490646
574	 1	 1	 28.7020549774
575	 1	 1	 28.7520520687
576	 1	 1	 28.8020629883
577	 1	 1	 28.8520731926
578	 1	 1	 28.9020750523
579	 1	 1	 28.9520831108
580	 1	 1	 29.0020830631
581	 1	 1	 29.0520920753
582	 1	 1	 29.1020820141
583	 1	 1	 29.1520981789
584	 1	 1	 29.2020981312
585	 1	 1	 29.2521121502
586	 0	 1	 29.3021030426
587	 1	 1	 29.3521211147
588	 1	 1	 29.4021229744
589	 1	 1	 29.4521291256
590	 1	 1	 29.5021209717
591	 1	 1	 29.5521361828
592	 1	 1	 29.6021361351
593	 1	 1	 29.6521651745
594	 1	 1	 29.702144146
595	 1	 1	 29.7521600723
596	 1	 1	 29.8021571636
597	 1	 1	 29.8521630764
598	 1	 1	 29.9021670818
599	 0	 1	 29.9521780014
600	 1	 1	 30.0021660328
601	 1	 1	 30.0541679859
602	 1	 1	 30.1021900177
603	 1	 1	 30.1521921158
604	 1	 1	 30.2021930218
605	 1	 1	 30.2521891594
606	 1	 1	 30.3022019863
607	 1	 1	 30.3522081375
608	 1	 1	 30.4022130966
609	 1	 1	 30.4522140026
610	 1	 1	 30.5022280216
611	 1	 1	 30.552229166
612	 0	 1	 30.6022341251
613	 1	 1	 30.6522240639
614	 1	 1	 30.7022380829
615	 1	 1	 30.7522439957
616	 1	 1	 30.8022561073
617	 1	 1	 30.8522520065
618	 1	 1	 30.9022669792
619	 1	 1	 30.9522650242
620	 1	 1	 31.0022671223
621	 1	 1	 31.052273035
